latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type
34.37767,-118.3763,316.1,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,296.6,36.3,0
34.37086,-118.37795,339,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,295.2,36.3,0
34.37057,-118.3686,352.4,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,313.7,56.4,0
34.37029,-118.35944,367,0.66,0.73,2016-07-23,0842,N,VIIRS,h,1,314.7,56.4,0
34.37005,-118.35155,332.7,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,302.3,10,0
34.36981,-118.34406,327.3,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,301.1,10,0
34.36959,-118.33698,330,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,298.1,13.4,0
34.36935,-118.32944,344.4,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,299.7,13.4,0
34.3691,-118.32139,356,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,297.9,13.8,0
34.36397,-118.37655,324.5,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,296.5,21.8,0
34.36372,-118.36838,367,0.66,0.73,2016-07-23,0842,N,VIIRS,h,1,311,58.9,0
34.36348,-118.36069,367,0.66,0.73,2016-07-23,0842,N,VIIRS,h,1,313.5,58.9,0
34.36327,-118.35378,344.4,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,303.3,24.9,0
34.36306,-118.34727,343.3,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,299.9,24.9,0
34.36285,-118.34024,345.4,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,299.1,58.5,0
34.36262,-118.33288,367,0.65,0.73,2016-07-23,0842,N,VIIRS,h,1,301,58.5,0
34.36238,-118.32505,367,0.65,0.73,2016-07-23,0842,N,VIIRS,h,1,303.7,29.2,0
34.36213,-118.31698,328.7,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,294.3,29.2,0
34.36186,-118.30839,309.5,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,292.6,3.7,0
